"transaction_id","trans_group_en","property_usage_en","procedure_name_en","instance_date","area_id","area_name_en","procedure_area","actual_worth","meter_sale_price"
"1-11-2023-31514","Sales","Commercial","Sell","02-10-2023",526,"Business Bay",107.66,1300000.0,12075.05
"1-11-2023-38816","Sales","Commercial","Sell","27-11-2023",445,"Jabal Ali First",1992.84,14200000.0,7125.51
"1-11-2023-19309","Sales","Commercial","Sell","19-06-2023",350,"Al Thanyah Fifth",101.84,1589490.0,15607.72
"1-11-2023-33712","Sales","Commercial","Sell","19-10-2023",526,"Business Bay",99.92,1110000.0,11108.89
"1-11-2023-20890","Sales","Commercial","Sell","04-07-2023",350,"Al Thanyah Fifth",165.53,2549000.0,15399.02
"1-11-2023-20055","Sales","Commercial","Sell","23-06-2023",526,"Business Bay",237.2,3646977.0,15375.12
"1-11-2023-13089","Sales","Commercial","Sell","03-05-2023",410,"Palm Jumeirah",622.64,21650000.0,34771.3
"1-11-2023-1632","Sales","Commercial","Sell","19-01-2023",441,"Al Barsha South Fourth",35.34,591811.0,16746.21
"1-11-2023-849","Sales","Commercial","Sell","10-01-2023",350,"Al Thanyah Fifth",139.3,892150.0,6404.52
"1-11-2023-1798","Sales","Commercial","Sell","20-01-2023",443,"Al Thanyah First",322.46,2900000.0,8993.36
"1-11-2023-8219","Sales","Commercial","Sell","20-03-2023",350,"Al Thanyah Fifth",72.25,435000.0,6020.76
"1-11-2023-13562","Sales","Commercial","Sell","11-05-2023",526,"Business Bay",107.66,700000.0,6501.95
"1-11-2023-25900","Sales","Commercial","Sell","16-08-2023",267,"Al Raffa",477.06,6800000.0,14253.97
"1-11-2023-29803","Sales","Commercial","Sell","19-09-2023",350,"Al Thanyah Fifth",988.62,13700000.0,13857.7
"1-11-2023-2724","Sales","Commercial","Sell","31-01-2023",526,"Business Bay",40.89,462147.0,11302.2
"1-11-2023-9238","Sales","Commercial","Sell","29-03-2023",485,"Me'Aisem First",709.8,9550000.0,13454.49
"1-11-2023-36509","Sales","Commercial","Sell","09-11-2023",350,"Al Thanyah Fifth",988.49,18000000.0,18209.59
"1-11-2023-33149","Sales","Commercial","Sell","16-10-2023",441,"Al Barsha South Fourth",1507.5,20000000.0,13267.0
"1-11-2023-12567","Sales","Commercial","Sell","01-05-2023",341,"Trade Center First",268.94,4800000.0,17847.85
